shipment_id,Route,origin,destination,status,cost,carrier,transport_mode,weight_kg,weather_condition,priority,carbon_emissions_kg,risk_score,dispatch_date,expected_date,delivery_date
TRK-688672,Shanghai → London,Shanghai,London,Delivered,359.75,Hapag-Lloyd,Sea,1355.70,Clear,Express,54905.85,5,2026-02-04,2026-03-03,2026-03-04
TRK-120104,Shanghai → London,Shanghai,London,Delivered,844.62,UPS,Air,1529.20,Clear,Standard,57345.00,10,2026-01-18,2026-01-21,2026-01-21
TRK-836525,Dubai → Tokyo,Dubai,Tokyo,Delivered,839.32,Hapag-Lloyd,Road,3607.10,Clear,Express,81159.75,5,2026-01-25,2026-01-30,2026-01-30
TRK-673092,Sydney → Melbourne,Sydney,Melbourne,Delayed,1468.33,DHL,Road,4951.60,Storm,Standard,155975.40,75,2026-03-15,2026-03-22,
TRK-147742,Singapore → Paris,Singapore,Paris,Delivered,1154.70,UPS,Air,1732.80,Clear,Express,43320.00,5,2026-03-11,2026-03-13,2026-03-14
TRK-188660,Mumbai → Sydney,Mumbai,Sydney,Delivered,1125.61,CMA CGM,Sea,4798.30,Clear,Standard,244713.30,10,2026-02-23,2026-03-29,2026-03-28
TRK-119898,Rotterdam → Melbourne,Rotterdam,Melbourne,Delivered,1333.26,Hapag-Lloyd,Sea,2429.70,Clear,Express,116625.60,5,2026-02-07,2026-03-11,2026-03-13
TRK-615261,Melbourne → Tokyo,Melbourne,Tokyo,Delayed,1252.22,FedEx,Air,1919.70,Snow,Express,71988.75,50,2026-02-01,2026-02-04,
TRK-887363,Los Angeles → Berlin,Los Angeles,Berlin,Delivered,194.79,Maersk,Sea,1403.80,Clear,Standard,42114.00,10,2026-02-03,2026-02-23,2026-02-25
TRK-437602,Chicago → London,Chicago,London,Delayed,1066.14,UPS,Air,1593.30,Clear,Express,79665.00,5,2026-03-14,2026-03-18,
TRK-191830,Dubai → Shanghai,Dubai,Shanghai,Delivered,258.19,FedEx,Road,568.80,Clear,Standard,15357.60,10,2026-03-23,2026-03-29,2026-03-30
TRK-409420,London → Dubai,London,Dubai,Delivered,1045.85,CMA CGM,Sea,2207.30,Clear,Critical,76151.85,5,2026-03-05,2026-03-28,2026-03-30
TRK-964621,Sydney → Shanghai,Sydney,Shanghai,Delivered,991.83,Maersk,Sea,3407.40,Rain,Overnight,107333.10,25,2026-01-21,2026-02-11,2026-02-13
TRK-859546,Toronto → Mumbai,Toronto,Mumbai,In Transit,282.83,Maersk,Sea,429.60,Extreme Heat,Overnight,25131.60,60,2026-03-20,2026-04-28,
TRK-253598,Los Angeles → Dubai,Los Angeles,Dubai,Delivered,520.89,Maersk,Sea,1245.20,Clear,Critical,50430.60,5,2026-01-22,2026-02-18,2026-02-19
TRK-569982,New York → Berlin,New York,Berlin,Delivered,1039.61,CMA CGM,Sea,2320.80,Clear,Standard,128804.40,10,2026-01-22,2026-02-28,2026-02-28
TRK-651960,New York → Toronto,New York,Toronto,Delayed,1326.05,FedEx,Air,980.80,Storm,Critical,12260.00,70,2026-01-25,2026-01-26,
TRK-431278,Tokyo → London,Tokyo,London,Delivered,1389.89,DHL,Air,1227.00,Rain,Overnight,46012.50,25,2026-04-01,2026-04-04,2026-04-04
TRK-889333,Toronto → London,Toronto,London,Delivered,2219.10,CMA CGM,Sea,4830.50,Clear,Standard,195635.25,10,2026-02-10,2026-03-09,2026-03-08
TRK-776612,Melbourne → Tokyo,Melbourne,Tokyo,In Transit,248.21,Maersk,Sea,1151.20,Clear,Standard,43170.00,10,2026-04-05,2026-04-30,
TRK-952477,Shanghai → Mumbai,Shanghai,Mumbai,Delivered,571.14,UPS,Rail,1977.00,Clear,Overnight,29655.00,10,2026-02-03,2026-02-09,2026-02-10
TRK-343277,Berlin → Melbourne,Berlin,Melbourne,Delayed,889.96,FedEx,Air,883.30,Clear,Standard,22082.50,10,2026-02-13,2026-02-15,
TRK-690022,Chicago → Sydney,Chicago,Sydney,Delayed,1652.13,CMA CGM,Sea,2194.70,Storm,Overnight,102053.55,100,2026-02-07,2026-03-10,
TRK-286009,Sydney → Chicago,Sydney,Chicago,In Transit,184.25,Maersk,Sea,367.60,Clear,Overnight,23710.20,10,2026-03-26,2026-05-08,
TRK-226531,New York → Sydney,New York,Sydney,Delivered,2962.37,FedEx,Air,3566.40,Rain,Express,178320.00,20,2026-03-24,2026-03-28,2026-03-30
TRK-587742,Shanghai → Paris,Shanghai,Paris,Delivered,958.56,DHL,Air,2489.90,Rain,Standard,93371.25,25,2026-01-30,2026-02-02,2026-02-04
TRK-289386,Mumbai → Rotterdam,Mumbai,Rotterdam,Delivered,2323.02,DHL,Air,2428.20,Extreme Heat,Overnight,121410.00,35,2026-04-01,2026-04-05,2026-04-05
TRK-739583,Dubai → Singapore,Dubai,Singapore,Delivered,963.90,DHL,Air,756.90,Clear,Overnight,9461.25,10,2026-04-09,2026-04-10,2026-04-09
TRK-739829,Los Angeles → Paris,Los Angeles,Paris,Delayed,1123.26,Hapag-Lloyd,Sea,2686.00,Storm,Express,165189.00,95,2026-03-03,2026-04-13,
TRK-482081,Tokyo → Mumbai,Tokyo,Mumbai,Delivered,839.66,FedEx,Air,1978.00,Clear,Standard,24725.00,10,2026-04-12,2026-04-13,2026-04-15
TRK-236974,Rotterdam → Sydney,Rotterdam,Sydney,In Transit,625.14,Hapag-Lloyd,Sea,2562.80,Clear,Overnight,153768.00,10,2026-03-23,2026-05-02,
TRK-775744,New York → Toronto,New York,Toronto,Delivered,2413.88,FedEx,Air,3761.80,Clear,Express,94045.00,5,2026-01-31,2026-02-02,2026-02-02
TRK-167464,Berlin → Los Angeles,Berlin,Los Angeles,Delivered,2600.00,FedEx,Air,3710.20,Rain,Express,46377.50,20,2026-02-19,2026-02-20,2026-02-19
